contract_id,final_label,owner_withdraw,emergency_withdraw,unrestricted_mint,regex_owner_withdraw,regex_emergency_withdraw,regex_unrestricted_mint,slither_ok,slither_high_count,slither_arbitrary_send,slither_suicidal,slither_unchecked_lowlevel,slither_controlled_delegatecall,slither_delegatecall_loop,slither_ownerish_any
contract_083,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_084,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_085,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_086,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_087,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_088,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_089,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_090,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_091,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_092,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_093,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_094,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_095,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_096,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_097,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_098,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_099,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_100,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
